,Train/Test Split ID,classifier,params,Threshold,Accuracy,Precision,Recall,F1,AUC_ROC Score
5,0,KNN,"{'n_neighbors': 50, 'weights': 'uniform'}",0.3,0.5861852114818947,0.2803867870304629,0.29823425756104577,0.28903527115572286,0.4987702940885771
6,0,KNN,"{'n_neighbors': 50, 'weights': 'uniform'}",0.5,0.4989755553301552,0.28102241606653816,0.49818391052612654,0.3593421701123187,0.4987352311908991
0,0,LogisticRegression,"{'C': 0.1, 'penalty': 'l1'}",0.01,0.7134496399229131,0.2748478701825558,0.009745747473657713,0.018824019727016986,0.4998222259824246
1,0,LogisticRegression,"{'C': 0.1, 'penalty': 'l1'}",0.02,0.7086621361192819,0.26774847870182555,0.018988024598122776,0.03546123106887404,0.4992938229880687
2,0,LogisticRegression,"{'C': 0.1, 'penalty': 'l1'}",0.05,0.696186225783548,0.2823529411764706,0.05005933757686913,0.08504139047560863,0.5000377922078998
3,0,LogisticRegression,"{'C': 0.1, 'penalty': 'l1'}",0.1,0.6747134597829394,0.28380160259661225,0.10062214550293092,0.14856900122126054,0.500433277235593
4,0,LogisticRegression,"{'C': 0.1, 'penalty': 'l1'}",0.2,0.63078405517801,0.28207728978598234,0.20002157730067968,0.23406628090478693,0.5000150269561477
5,0,LogisticRegression,"{'C': 0.1, 'penalty': 'l1'}",0.3,0.5865706461101532,0.2810291780775603,0.2989175387492358,0.2896974766485432,0.49924614769992204
6,0,LogisticRegression,"{'C': 0.1, 'penalty': 'l1'}",0.5,0.5005984379754539,0.2826452987118369,0.5010608839500845,0.36141734325957825,0.5007388253439303
0,0,LogisticRegression,"{'C': 0.1, 'penalty': 'l2'}",0.01,0.7133887818237143,0.2718052738336714,0.009637860970259288,0.018615635744799085,0.4997470912016858
1,0,LogisticRegression,"{'C': 0.1, 'penalty': 'l2'}",0.02,0.7094938634749974,0.2885395537525355,0.020462473477901248,0.03821484939051009,0.5003206649914972
2,0,LogisticRegression,"{'C': 0.1, 'penalty': 'l2'}",0.05,0.6962065118166143,0.2825557809330629,0.05009529974466861,0.08510248342853653,0.5000628371348126
3,0,LogisticRegression,"{'C': 0.1, 'penalty': 'l2'}",0.1,0.6754437569733238,0.28745308854853435,0.10191678354371202,0.15048053947857484,0.5013348946044571
4,0,LogisticRegression,"{'C': 0.1, 'penalty': 'l2'}",0.2,0.6327518003854347,0.28699665280454406,0.20350990757722875,0.2381483429773803,0.5024443848666982
5,0,LogisticRegression,"{'C': 0.1, 'penalty': 'l2'}",0.3,0.5892889745410285,0.2855597254623525,0.3037364692343654,0.29436776801896,0.5026021679062492
6,0,LogisticRegression,"{'C': 0.1, 'penalty': 'l2'}",0.5,0.5002535754133279,0.2823004361497109,0.5004495270974935,0.36097636896578555,0.5003130615864111
0,0,LogisticRegression,"{'C': 1, 'penalty': 'l1'}",0.01,0.7134699259559794,0.27586206896551724,0.009781709641457187,0.018893481054422952,0.49984727090933745
1,0,LogisticRegression,"{'C': 1, 'penalty': 'l1'}",0.02,0.7087027081854144,0.268762677484787,0.019059948933721725,0.0355955539138319,0.49934391284189444
2,0,LogisticRegression,"{'C': 1, 'penalty': 'l1'}",0.05,0.6953950704939649,0.2744421906693712,0.04865681303268961,0.08265876531142133,0.499061040058297
3,0,LogisticRegression,"{'C': 1, 'penalty': 'l1'}",0.1,0.67406430672482,0.2805558373060148,0.09947135613334772,0.14686985610364783,0.49963183957438057
4,0,LogisticRegression,"{'C': 1, 'penalty': 'l1'}",0.2,0.6318592149305203,0.28476518916725835,0.20192757219405186,0.23629668595476064,0.5013424080825309
5,0,LogisticRegression,"{'C': 1, 'penalty': 'l1'}",0.3,0.5884369611522466,0.28413970314771614,0.3022260581867875,0.29290394535062036,0.5015502809759079
6,0,LogisticRegression,"{'C': 1, 'penalty': 'l1'}",0.5,0.5030530479764682,0.2850999087128512,0.5054123062538209,0.3645560426448082,0.5037692615003899
0,0,LogisticRegression,"{'C': 1, 'penalty': 'l2'}",0.01,0.713348209757582,0.2697768762677485,0.009565936634660337,0.01847671308998715,0.4996970013478601
1,0,LogisticRegression,"{'C': 1, 'penalty': 'l2'}",0.02,0.7091287148798052,0.27941176470588236,0.019815154457510697,0.03700594378588939,0.4998698563070651
2,0,LogisticRegression,"{'C': 1, 'penalty': 'l2'}",0.05,0.6952124961963688,0.27261663286004056,0.048333153522494336,0.0821089287350704,0.4988356357160809
3,0,LogisticRegression,"{'C': 1, 'penalty': 'l2'}",0.1,0.6741657368901511,0.28106298813267067,0.09965116697234509,0.14713534752827484,0.49975706420894495
4,0,LogisticRegression,"{'C': 1, 'penalty': 'l2'}",0.2,0.6310274875748048,0.28268587077796936,0.2004531233142734,0.23457127827459232,0.5003155660791024
5,0,LogisticRegression,"{'C': 1, 'penalty': 'l2'}",0.3,0.5864895019778882,0.2808939378571187,0.2987736900780379,0.28955806496584413,0.4991459679922705
6,0,LogisticRegression,"{'C': 1, 'penalty': 'l2'}",0.5,0.5000710011157318,0.2821178618521148,0.5001258675872982,0.3607429119867189,0.5000876572441951
0,0,LogisticRegression,"{'C': 10, 'penalty': 'l1'}",0.01,0.7132264935591845,0.26369168356997974,0.009350163627863487,0.018059945125551344,0.49954673178638276
1,0,LogisticRegression,"{'C': 10, 'penalty': 'l1'}",0.02,0.7090272847144741,0.2768762677484787,0.019635343618513323,0.036670136673494745,0.4997446316725006
2,0,LogisticRegression,"{'C': 10, 'penalty': 'l1'}",0.05,0.696267369915813,0.2831643002028398,0.050203186248067036,0.08528576228732017,0.5001379719155512
3,0,LogisticRegression,"{'C': 10, 'penalty': 'l1'}",0.1,0.6741454508570849,0.28096155796733946,0.09961520480454562,0.14708224924334945,0.49973201928203204
4,0,LogisticRegression,"{'C': 10, 'penalty': 'l1'}",0.2,0.6312506339385333,0.2832437366872908,0.2008487071600676,0.23503419253024724,0.5005910602751441
5,0,LogisticRegression,"{'C': 10, 'penalty': 'l1'}",0.3,0.5875240896642662,0.2826182506677486,0.3006077606358111,0.29133556392025656,0.5004232592648278
6,0,LogisticRegression,"{'C': 10, 'penalty': 'l1'}",0.5,0.5011461608682423,0.28319302160462523,0.5020318624806703,0.3621177141967783,0.5014150383705783
0,0,LogisticRegression,"{'C': 10, 'penalty': 'l2'}",0.01,0.7139365047165027,0.29918864097363085,0.01060883950084511,0.020491091584760184,0.5004233042283339
1,0,LogisticRegression,"{'C': 10, 'penalty': 'l2'}",0.02,0.7090678567806066,0.2778904665314402,0.019707267954112272,0.0368044595184526,0.4997947215263265
2,0,LogisticRegression,"{'C': 10, 'penalty': 'l2'}",0.05,0.6956385028907597,0.2768762677484787,0.04908835904628331,0.08339188074655587,0.4993615791812517
3,0,LogisticRegression,"{'C': 10, 'penalty': 'l2'}",0.1,0.6735368698650979,0.2779186530074044,0.09853633977056137,0.14548930069558755,0.49898067147464537
4,0,LogisticRegression,"{'C': 10, 'penalty': 'l2'}",0.2,0.6291611725327112,0.2780200831727356,0.1971446038767217,0.2306996317727512,0.49801143280311655
5,0,LogisticRegression,"{'C': 10, 'penalty': 'l2'}",0.3,0.5844406126381986,0.2774791222909693,0.2951415111302909,0.2860379199776941,0.49661643037406844
6,0,LogisticRegression,"{'C': 10, 'penalty': 'l2'}",0.5,0.49899584136322145,0.2810427020996044,0.498219872693926,0.35936810977665945,0.49876027611781193
0,0,LogisticRegression,"{'C': 100, 'penalty': 'l1'}",0.01,0.7143016533116949,0.3174442190669371,0.01125615852123566,0.021741395478067582,0.500874112912766
1,0,LogisticRegression,"{'C': 100, 'penalty': 'l1'}",0.02,0.7095344355411299,0.289553752535497,0.020534397813500197,0.038349172235467945,0.5003707548453229
2,0,LogisticRegression,"{'C': 100, 'penalty': 'l1'}",0.05,0.6972208134699259,0.2926977687626775,0.051893408134642355,0.08815713107493049,0.5013150834804571
3,0,LogisticRegression,"{'C': 100, 'penalty': 'l1'}",0.1,0.6756466173039862,0.28846739020184603,0.10227640522170676,0.1510115223278288,0.5015853438735859
4,0,LogisticRegression,"{'C': 100, 'penalty': 'l1'}",0.2,0.6320215031950502,0.285170909828583,0.20221526953644767,0.23663335086796422,0.5015427674978341
5,0,LogisticRegression,"{'C': 100, 'penalty': 'l1'}",0.3,0.5885181052845117,0.2842749433681577,0.3023699068579854,0.29304335703331935,0.5016504606835596
6,0,LogisticRegression,"{'C': 100, 'penalty': 'l1'}",0.5,0.500517293843189,0.28256415457957196,0.5009170352788866,0.36131358460221524,0.5006386456362788
0,0,LogisticRegression,"{'C': 100, 'penalty': 'l2'}",0.01,0.713956790749569,0.3002028397565923,0.010644801668644586,0.020560552912166154,0.5004483491552468
1,0,LogisticRegression,"{'C': 100, 'penalty': 'l2'}",0.02,0.7093924333096663,0.28600405679513186,0.020282662638903874,0.03787904227811545,0.5001954403569326
2,0,LogisticRegression,"{'C': 100, 'penalty': 'l2'}",0.05,0.6972208134699259,0.2926977687626775,0.051893408134642355,0.08815713107493049,0.5013150834804571
3,0,LogisticRegression,"{'C': 100, 'penalty': 'l2'}",0.1,0.6747946039152044,0.2842073232579369,0.10076599417412882,0.14878139436096213,0.5005334569432446
4,0,LogisticRegression,"{'C': 100, 'penalty': 'l2'}",0.2,0.6331169489806269,0.2879095242925246,0.2041572265976193,0.2389058390320884,0.5028951935511301
5,0,LogisticRegression,"{'C': 100, 'penalty': 'l2'}",0.3,0.5882949589207831,0.2839030327619434,0.3019743230121912,0.29265997490589707,0.5013749664875177
6,0,LogisticRegression,"{'C': 100, 'penalty': 'l2'}",0.5,0.5001318592149305,0.2821787199513135,0.5002337540906966,0.3608207309797411,0.5001627920249339
0,0,SVM,{'C': 0.1},0.01,0.7140176488487676,0.30324543610547666,0.010752688172043012,0.020768936894384055,0.5005234839359854
1,0,SVM,{'C': 0.1},0.02,0.7098590120701896,0.29766734279918866,0.021109792498291795,0.039423754995130796,0.5007714736759291
2,0,SVM,{'C': 0.1},0.05,0.6969773810731311,0.29026369168356997,0.051461862121048654,0.08742401563979595,0.5010145443575025
3,0,SVM,{'C': 0.1},0.1,0.6753423268079927,0.2869459377218785,0.10173697270471464,0.15021504805394786,0.5012096699698926
4,0,SVM,{'C': 0.1},0.2,0.6321635054265139,0.2855259154072421,0.20246700471104398,0.23692793266701734,0.5017180819862243
5,0,SVM,{'C': 0.1},0.3,0.5884978192514454,0.2842411333130473,0.30233394469018593,0.29300850411264456,0.5016254157566467
6,0,SVM,{'C': 0.1},0.5,0.4999898569834669,0.2820367177198499,0.4999820189161003,0.360639153329356,0.49998747753654355
0,0,SVM,{'C': 1},0.01,0.714139365047165,0.3093306288032454,0.01096846117883986,0.02118570485881985,0.5006737534974629
1,0,SVM,{'C': 1},0.02,0.7094735774419312,0.2880324543610548,0.020426511310101772,0.03814768796803116,0.5002956200645843
2,0,SVM,{'C': 1},0.05,0.6964296581803429,0.2847870182555781,0.05049088359046283,0.08577450591074319,0.5003383313308544
3,0,SVM,{'C': 1},0.1,0.6744497413530784,0.282483010447307,0.10015463732153775,0.1478787235172304,0.5001076931857255
4,0,SVM,{'C': 1},0.2,0.6302769043513541,0.28080941271934273,0.1991225231056928,0.23301420305102577,0.49938890378332546
5,0,SVM,{'C': 1},0.3,0.5875443756973324,0.282652060722859,0.3006437228036106,0.2913704168409313,0.5004483041917408
6,0,SVM,{'C': 1},0.5,0.5013287351658383,0.28337559590222133,0.5023555219908656,0.3623511711758449,0.5016404427127944
0,0,SVM,{'C': 10},0.01,0.713185921493052,0.2616632860040568,0.009278239292264538,0.017921022470739418,0.499496641932557
1,0,SVM,{'C': 10},0.02,0.7089867126483416,0.27586206896551724,0.019563419282914375,0.03653581382853689,0.4996945418186749
2,0,SVM,{'C': 10},0.05,0.6958819352875545,0.2793103448275862,0.04951990505987701,0.08412499618169043,0.49966211830420626
3,0,SVM,{'C': 10},0.1,0.6735368698650979,0.2779186530074044,0.09853633977056137,0.14548930069558755,0.49898067147464537
4,0,SVM,{'C': 10},0.2,0.6305609088142814,0.2815194238766609,0.19962599345488546,0.23360336664913203,0.4997395327601059
5,0,SVM,{'C': 10},0.3,0.588984684045035,0.28505257463569666,0.3031970367173733,0.29384497420883865,0.5022264940025559
6,0,SVM,{'C': 10},0.5,0.5029110457450046,0.2849579064813876,0.5051605710792246,0.36437446499442294,0.5035939470119998
0,0,SVM,{'C': 100},0.01,0.7139365047165027,0.29918864097363085,0.01060883950084511,0.020491091584760184,0.5004233042283339
1,0,SVM,{'C': 100},0.02,0.7098590120701896,0.29766734279918866,0.021109792498291795,0.039423754995130796,0.5007714736759291
2,0,SVM,{'C': 100},0.05,0.6967339486763363,0.2878296146044625,0.05103031610745496,0.0866909002046614,0.5007140052345478
3,0,SVM,{'C': 100},0.1,0.6741657368901511,0.28106298813267067,0.09965116697234509,0.14713534752827484,0.49975706420894495
4,0,SVM,{'C': 100},0.2,0.6299928998884268,0.28009940156202456,0.19861905275650016,0.23242503945291954,0.49903827480654495
