classifier,params,Train/Test Split ID,Precision,Recall,Accuracy,AUC_ROC Score
RandomForest,"{'criterion': 'entropy', 'max_depth': 15, 'n_estimators': 10}",1,0.2877959927140255,0.048858423955058496,0.6842161193848583,0.4991860338764704
RandomForest,"{'criterion': 'entropy', 'max_depth': 15, 'n_estimators': 10}",2,0.28021729289271163,0.04922073791348599,0.693340275262586,0.4994521411086417
RandomForest,"{'criterion': 'entropy', 'max_depth': 15, 'n_estimators': 50}",0,0.2870182555780933,0.050886467436257056,0.6966528045440714,0.5006138255268962
RandomForest,"{'criterion': 'entropy', 'max_depth': 15, 'n_estimators': 50}",1,0.2908318154219793,0.04937380817399371,0.684519743134308,0.4995513269156101
RandomForest,"{'criterion': 'entropy', 'max_depth': 15, 'n_estimators': 50}",2,0.2974196468990493,0.05224236641221374,0.6950606664252083,0.5015642211807905
RandomForest,"{'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 100}",0,0.2699797160243408,0.04786564534110116,0.6949487777665078,0.4985100516662134
RandomForest,"{'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 100}",1,0.3069216757741348,0.05210534453435036,0.6861289490063913,0.5014873800230502
RandomForest,"{'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 100}",2,0.2883657763693979,0.05065203562340967,0.6941551973922492,0.5004526000901859
RandomForest,"{'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 10}",0,0.2839756592292089,0.05034703491926493,0.6963485140480778,0.5002381516232028
RandomForest,"{'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 10}",1,0.2905282331511839,0.04932226975210019,0.6844893807593629,0.4995147976116962
RandomForest,"{'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 10}",2,0.2829334540516071,0.049697837150127225,0.6936119159724737,0.4997856274358232
RandomForest,"{'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 50}",0,0.2849898580121704,0.050526845758262315,0.6964499442134091,0.5003633762577673
RandomForest,"{'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 50}",1,0.2956891317547055,0.05019842292429006,0.6850055411334275,0.5001357957782335
RandomForest,"{'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 50}",2,0.2616568583069262,0.045960559796437664,0.6914840637450199,0.4971733178729024
RandomForest,"{'criterion': 'gini', 'max_depth': 1, 'n_estimators': 100}",0,0.2866125760649087,0.05081454310065811,0.6966122324779389,0.5005637356730703
RandomForest,"{'criterion': 'gini', 'max_depth': 1, 'n_estimators': 100}",1,0.3054037644201579,0.05184765242488275,0.6859771371316664,0.5013047335034804
RandomForest,"{'criterion': 'gini', 'max_depth': 1, 'n_estimators': 100}",2,0.2983250339520145,0.05240139949109415,0.6951512133285042,0.5016753832898508
RandomForest,"{'criterion': 'gini', 'max_depth': 1, 'n_estimators': 10}",0,0.2799188640973631,0.04962779156327544,0.6959427933867532,0.499737253084945
RandomForest,"{'criterion': 'gini', 'max_depth': 1, 'n_estimators': 10}",1,0.302367941712204,0.05133226820594754,0.6856735133822167,0.5009394404643408
RandomForest,"{'criterion': 'gini', 'max_depth': 1, 'n_estimators': 10}",2,0.2698053417836125,0.047391857506361316,0.6922989858746831,0.4981737768544464
RandomForest,"{'criterion': 'gini', 'max_depth': 1, 'n_estimators': 50}",0,0.2817444219066937,0.04995145107347071,0.6961253676843493,0.49996265742716106
RandomForest,"{'criterion': 'gini', 'max_depth': 1, 'n_estimators': 50}",1,0.2887067395264117,0.04901303922073906,0.6843072065096932,0.4992956217882124
RandomForest,"{'criterion': 'gini', 'max_depth': 1, 'n_estimators': 50}",2,0.2947034857401539,0.05176526717557252,0.6947890257153205,0.501230734853609
RandomForest,"{'criterion': 'gini', 'max_depth': 10, 'n_estimators': 100}",0,0.2778904665314402,0.04926816988528068,0.6957399330560908,0.4994868038158161
